en,zh-tw,pos,description
tag,標示,verb,
tag base,標籤目錄起點,noun,
Tag ID,代碼 ID,noun,Google 台灣官方譯文，適用於搜尋引擎相關內容及 Google Analystics
Tagalog,塔加拉族文,noun,語言名稱，介面中稱文不稱語
tagline,網站說明,noun,
Tahiti,大溪地,noun,洲、國家/地區、城市名稱
Tahitian,大溪地文,noun,語言名稱，介面中稱文不稱語
Taipei,台北,noun,洲、國家/地區、城市名稱
Tajik,塔吉克文,noun,語言名稱，介面中稱文不稱語
Tajikistani somoni,塔吉克斯坦索莫尼,noun,貨幣名稱
Tallinn,塔林,noun,洲、國家/地區、城市名稱
Tamil,坦米爾文,noun,語言名稱，介面中稱文不稱語
Tamil (Sri Lanka),坦米爾文 (斯里蘭卡),noun,語言名稱，介面中稱文不稱語
Tanzanian shilling,坦尚尼亞先令,noun,貨幣名稱
Tarawa,塔拉瓦,noun,洲、國家/地區、城市名稱
target audience,目標對象,noun,
Tashkent,塔什干,noun,洲、國家/地區、城市名稱
task,工作,noun,
Tasmania,塔斯馬尼亞,noun,洲、國家/地區、城市名稱
Tatar,韃靼文,noun,語言名稱，介面中稱文不稱語
taxonomy,分類法,noun,
Tbilisi,第比利斯,noun,洲、國家/地區、城市名稱
Tegucigalpa,德古西加巴,noun,洲、國家/地區、城市名稱
Tehran,德黑蘭,noun,洲、國家/地區、城市名稱
Tel Aviv,特拉維夫,noun,洲、國家/地區、城市名稱
Telegram,Telegram,noun,通訊軟體名稱
Tell City,特爾城,noun,洲、國家/地區、城市名稱
Telugu,特拉古文,noun,語言名稱，介面中稱文不稱語
template,範本,noun,
template part,範本組件,noun,適用於區塊編輯器、網站編輯器相關內容
term,分類法詞彙,noun,適用於 WordPress 分類法相關內容
test,測試,verb,
test,測試,noun,
test unit,測試單元,noun,
text editor,文字編輯器,noun,
Thai,泰文,noun,語言名稱，介面中稱文不稱語
Thai baht,泰銖,noun,貨幣名稱
theme,佈景主題,noun,
theme directory,佈景主題目錄,noun,
theme name,佈景主題名稱,noun,
theme option,佈景主題選項,noun,
Thimbu,辛布,noun,洲、國家/地區、城市名稱
Thimphu,辛布,noun,洲、國家/地區、城市名稱
Thule,土里島,noun,洲、國家/地區、城市名稱
thumb,縮圖,noun,有些開發者會將 Thumbnail 簡寫為 Thumb
thumbnail,縮圖,noun,
thumbnail size,縮圖尺寸,noun,
Thunder Bay,桑德灣,noun,洲、國家/地區、城市名稱
Tibetan,藏文,noun,語言名稱，介面中稱文不稱語
Tigrinya,提格利尼亞文,noun,語言名稱，介面中稱文不稱語
Tijuana,提華納,noun,洲、國家/地區、城市名稱
Timbuktu,廷巴克圖,noun,洲、國家/地區、城市名稱
time format,時間格式,noun,
timer,計時器,noun,
timezone,時區,noun,
TinyMCE,TinyMCE,noun,
Tirane,地拉那,noun,洲、國家/地區、城市名稱
Tiraspol,提拉斯浦,noun,洲、國家/地區、城市名稱
title,標題,noun,
TLD,頂層網域,noun,如果是與網域相關的內容，就是 top level domain 的縮寫
TLD,TLD,noun,如果是與網域相關的內容，就是 top level domain 的縮寫
TOC,TOC,noun,
TOC,目錄,noun,
TOC,內容目錄,noun,
token,權杖,noun,
Tokyo,東京,noun,洲、國家/地區、城市名稱
Tomsk,托木斯克,noun,洲、國家/地區、城市名稱
Tonga,東加文,noun,語言名稱，介面中稱文不稱語
Tongan pa&#x2bb;anga,東加潘加,noun,貨幣名稱
Tongatapu,東加塔普,noun,洲、國家/地區、城市名稱
tool,工具,noun,
top level domain,頂層網域,noun,
top-level domain,頂層網域,noun,
Toronto,多倫多,noun,洲、國家/地區、城市名稱
Tortola,托托拉,noun,洲、國家/地區、城市名稱
track,追蹤,verb,
track,追蹤,noun,
trackback,引用通知,noun,
tracker,追蹤器,noun,
tracking code,追蹤程式碼,noun,Google 台灣官方譯文，適用於搜尋引擎相關內容及 Google Analystics
trademark,商標,noun,
Traditional Chinese,繁體中文,noun,語言名稱，介面中稱文不稱語
Traditional Chinese Formal,繁體中文 (正式),noun,語言名稱，介面中稱文不稱語
Traditional Chinese Informal,繁體中文 (口語),noun,語言名稱，介面中稱文不稱語
translation,譯文,noun,
translation,語言套件,noun,
translation,本地化,noun,
Transnistrian ruble,聶斯特河沿岸盧布,noun,貨幣名稱
transparent,透明度,noun,
transport,傳輸,noun,
trash,回收桶,noun,
trash,移至回收桶,verb,
Trinidad and Tobago dollar,千里達及托巴哥元,noun,貨幣名稱
Tripoli,的黎波里,noun,洲、國家/地區、城市名稱
Troll,特羅爾站,noun,洲、國家/地區、城市名稱
Truk,楚克,noun,洲、國家/地區、城市名稱
Truth Social,Truth Social,noun,社交網路服務平台名稱
try again,再試一次,verb,
Tsonga,頌加文,noun,語言名稱，介面中稱文不稱語
Tswana,班圖文,noun,語言名稱，介面中稱文不稱語
Tucuman,圖庫曼,noun,洲、國家/地區、城市名稱
Tumblr,Tumblr,noun,內容發佈平台名稱
Tunis,突尼斯,noun,洲、國家/地區、城市名稱
Tunisian dinar,突尼西亞戴納,noun,貨幣名稱
tunnel,通道,noun,
Turkish,土耳其文,noun,語言名稱，介面中稱文不稱語
Turkish lira,土耳其里拉,noun,貨幣名稱
Turkmen,土庫曼文,noun,語言名稱，介面中稱文不稱語
Turkmenistan manat,土庫曼斯坦馬納特,noun,貨幣名稱
Twi,帝維文,noun,語言名稱，介面中稱文不稱語
Twitter,Twitter,noun,社交網路服務平台名稱
two-factor authentication,兩步驟驗證,noun,
two-step authentication,兩步驟驗證,noun,
typography,排版樣式,noun,
Ubuntu,Ubuntu,noun,Linux 發行版本名稱
UCT,UCT,noun,
Ugandan shilling,烏干達先令,noun,貨幣名稱
Uighur,維吾爾文,noun,語言名稱，介面中稱文不稱語
Ujung Pandang,錫江,noun,洲、國家/地區、城市名稱
Ukrainian,烏克蘭文,noun,語言名稱，介面中稱文不稱語
Ukrainian hryvnia,烏克蘭格里夫納,noun,貨幣名稱
Ulaanbaatar,烏蘭巴托,noun,洲、國家/地區、城市名稱
Ulan Bator,烏蘭巴托,noun,洲、國家/地區、城市名稱
Ulyanovsk,烏里揚諾夫斯克,noun,洲、國家/地區、城市名稱
underscore,底線,noun,
underscore,底線,noun,適用於標點符號 _
undo,復原,verb,
ungroup,取消群組,verb,
unique,唯一,adjective,
unique identifier,唯一識別碼,noun,
United Arab Emirates dirham,阿拉伯聯合大公國迪拉姆,noun,貨幣名稱
United States dollar,美元,noun,貨幣名稱
Universal,國際標準時間,noun,
universal,標準,adjective,
universal,通用,adjective,
unload,解除載入,verb,從儲存空間移除儲存的項目。
unload,卸載,verb,將軟體從系統記憶體中移除。
unsaved change,未儲存的變更,noun,
unschedule,取消排程,verb,
untitled,未命名,adjective,
unwanted software,垃圾軟體,noun,
up arrow key,向上鍵,noun,鍵盤按鍵名稱
update,更新,noun,
update,更新,verb,
upgrade,升級,verb,
uploader,上傳程式,noun,
Upper Alpha/Latin,大寫拉丁字元,noun,語言名稱，介面中稱文不稱語
Upper Roman,大寫羅馬數字,noun,語言名稱，介面中稱文不稱語
Upper Sorbian,上索布文,noun,語言名稱，介面中稱文不稱語
Urdu,烏都文,noun,語言名稱，介面中稱文不稱語
URI,URI,noun,
URL,網址,noun,
URL Slug,網址代稱,noun,
Uruguayan peso,烏拉圭披索,noun,貨幣名稱
Urumqi,烏魯木齊,noun,洲、國家/地區、城市名稱
user,使用者,noun,
user agent,使用者代理程式,noun,
user interface,使用者介面,noun,
user role,使用者角色,verb,
Ushuaia,烏斯懷亞,noun,洲、國家/地區、城市名稱
Ust-Nera,烏斯季涅拉,noun,洲、國家/地區、城市名稱
UTC,國際標準時間 (UTC),noun,
Uzbek,烏茲別克文,noun,語言名稱，介面中稱文不稱語
Uzbekistani som,烏茲別克索姆,noun,貨幣名稱
Uzhgorod,烏日霍羅德,noun,洲、國家/地區、城市名稱
Vaduz,瓦都茲,noun,洲、國家/地區、城市名稱
Vancouver,溫哥華,noun,洲、國家/地區、城市名稱
Vanuatu vatu,萬那杜瓦圖,noun,貨幣名稱
variable font,可變字型,noun,Google 台灣官方譯文，適用於字型相關內容
variation,樣式變化,noun,適用於 WordPress 全站編輯
Vatican,梵蒂岡,noun,
Venda,文達文,noun,語言名稱，介面中稱文不稱語
vendor,廠商,noun,
Venezuelan bol&iacute;var,委內瑞拉玻利瓦爾,noun,貨幣名稱
verification,驗證,noun,
verification code,驗證碼,noun,
verify,驗證,verb,
version control,版本控制,noun,
vertical,垂直,adjective,
Vevay,韋韋,noun,洲、國家/地區、城市名稱
Viber,Viber,noun,通訊軟體名稱
Victoria,維多利亞省,noun,洲、國家/地區、城市名稱
video,視訊,noun,
Vienna,維也納,noun,洲、國家/地區、城市名稱
Vientiane,永珍,noun,洲、國家/地區、城市名稱
Vietnamese,越南文,noun,語言名稱，介面中稱文不稱語
Vietnamese &#x111;&#x1ed3;ng,越南盾,noun,貨幣名稱
view all,檢視全部,verb,
view mode,檢視模式,noun,
viewer,檢視器,noun,
viewport,檢視區,noun,適用於網頁設計
Vilnius,維爾紐斯,noun,洲、國家/地區、城市名稱
Vimeo,Vimeo,noun,線上影音串流服務名稱
Vincennes,湯森斯,noun,洲、國家/地區、城市名稱
Virgin,維爾京群島,noun,洲、國家/地區、城市名稱
virtual,虛擬,adjective,
visual editor,視覺化編輯器,noun,
VK,VK,noun,社交網路服務平台名稱
Vkontakte,Vkontakte,noun,社交網路服務平台名稱
Vladivostok,海參崴,noun,洲、國家/地區、城市名稱
Volapuk,沃拉普克文,noun,語言名稱，介面中稱文不稱語
Volgograd,伏爾加格勒,noun,洲、國家/地區、城市名稱
Vostok,弗斯托克,noun,洲、國家/地區、城市名稱
Wake,威克島,noun,洲、國家/地區、城市名稱
Wallis,瓦利斯,noun,洲、國家/地區、城市名稱
Walloon,華隆文,noun,語言名稱，介面中稱文不稱語
Warsaw,華沙,noun,洲、國家/地區、城市名稱
web font,網頁字型,noun,適用於字型相關內容
webfont,網頁字型,noun,適用於字型相關內容
website,網站,noun,
Welsh,威爾斯文,noun,語言名稱，介面中稱文不稱語
West,西澳省,noun,洲、國家/地區、城市名稱
West African CFA franc,西非法郎 (非洲金融共同體法郎),noun,貨幣名稱
Western Frisian,西弗里西亞文,noun,語言名稱，介面中稱文不稱語
what you see is what you get,所見即所得,noun,
WhatsApp,WhatsApp,noun,通訊軟體名稱
what-you-see-is-what-you-get,所見即所得,noun,
white list,允許清單,noun,
Whitehorse,白馬鎮,noun,洲、國家/地區、城市名稱
whitelist,允許清單,noun,
widget,小工具,noun,
widget area,小工具區域,noun,
width,寬度,noun,
wildcard,萬用字元,noun,
wildcard certificate,萬用字元憑證,noun,
Winamac,威納馬克,noun,洲、國家/地區、城市名稱
Windhoek,溫吐克,noun,洲、國家/地區、城市名稱
window,視窗,noun,
Windows,Windows,noun,作業系統名稱
Winnipeg,溫尼柏,noun,洲、國家/地區、城市名稱
wizard,精靈,noun,
Wolof,沃洛夫文,noun,語言名稱，介面中稱文不稱語
WooCommerce,WooCommerce,noun,
WordCamp,WordCamp 活動,noun,
WordPress,WordPress,noun,
WordPress Core,WordPress 核心程式,noun,
WordPress Multisite,WordPress 多站網路,noun,Multisite 是舊版詞彙，與新版的 Network 統一譯文為「多站網路」
WordPress Network,WordPress 多站網路,noun,Network 是新版詞彙，與舊版的 Multisite 統一譯文為「多站網路」
WordPress.com,WordPress.com,noun,
WYSIWYG,WYSIWYG,noun,What You See Is What You Get (所見即所得) 的縮寫
WYSIWYG,所見即所得,noun,What You See Is What You Get (所見即所得) 的縮寫
Xhosa,廓薩文,noun,語言名稱，介面中稱文不稱語
XML,XML,noun,
XML-RPC,XML-RPC,noun,
Yakutat,亞庫塔特,noun,洲、國家/地區、城市名稱
Yakutsk,雅庫茨克,noun,洲、國家/地區、城市名稱
Yancowinna,揚科維納,noun,洲、國家/地區、城市名稱
Yangon,仰光,noun,洲、國家/地區、城市名稱
Yap,雅浦島,noun,洲、國家/地區、城市名稱
Yekaterinburg,耶卡特寧伯格,noun,洲、國家/地區、城市名稱
Yellowknife,耶洛奈夫,noun,洲、國家/地區、城市名稱
Yemeni rial,葉門里亞爾,noun,貨幣名稱
Yerevan,葉里溫,noun,洲、國家/地區、城市名稱
Yiddish,意第緒文,noun,語言名稱，介面中稱文不稱語
Yoruba,優魯巴文,noun,語言名稱，介面中稱文不稱語
YouTube,YouTube,noun,線上影音串流服務名稱
Zagreb,札格雷布,noun,洲、國家/地區、城市名稱
Zaporozhye,札波羅結,noun,洲、國家/地區、城市名稱
Zhuang,壯文,noun,語言名稱，介面中稱文不稱語
Zulu,祖魯,noun,洲、國家/地區、城市名稱
Zurich,蘇黎世,noun,洲、國家/地區、城市名稱
asterisk,星號,noun,即 * 這個符號
receipt,收據,noun,適用於電子商務
receipt,回條,noun,適用於聯絡表單或電子郵件
activation code,啟用代碼,noun,
font collection,字型集,noun,
status code,狀態代碼,noun,
error code,錯誤代碼,noun,
reply code,回覆代碼,noun,
patch,修補程式,noun,
hot fix,修正程式,noun,
hotfix,修正程式,noun,
rollup,匯總套件,noun,
redirection code,重新導向代碼,noun,
roadmap,藍圖,noun,
Patchstack,Patchstack,noun,
heartbeat,活動訊號,noun,
recompile,重新編譯,verb,
performance,效能,noun,
suspension,暫停,noun,
sensor,感應器,noun,
cross-selling,交叉銷售,noun,
cross-sell,交叉銷售,verb,
upselling,追加銷售,noun,
upsell,追加銷售,verb,
clipboard,剪貼簿,noun,
Short URL,短網址,noun,
structure tag,結構標籤,noun,
wishlist,願望清單,noun,
LINE,LINE,noun,通訊軟體名稱
ascending,遞增,adjective,
descending,遞減,adjective,
ASC,遞增,adjective,如果是排序方式的屬性值，請保留原文
DES,遞減,adjective,如果是排序方式的屬性值，請保留原文
firewall,防火牆,noun,
lock down,鎖定,verb,
lockdown,鎖定,noun,
legitimate,合法,adjective,
legitimate,正當,adjective,
upload,上傳,verb,
correlate,相互關聯,verb,
gateway,閘道,noun,
robots.txt,robots.txt,noun,
Open Graph,開放社交關係圖,noun,Facebook 官方譯文
white label,自訂品牌,noun,
manifest,資訊清單,noun,
enumeration,列舉,noun,
enumerate,列舉,verb,
bloat,浮濫功能,noun,
bloatware,浮濫軟體,noun,
redundant,冗餘,adjective,
webinar,網路研討會,noun,
principle,原則,noun,
ownership,擁有權,noun,
funding,資金,noun,
generative AI,生成式 AI,noun,
generative pre-trained transformer,生成式預先訓練轉換器,noun,
generative,生成式,adjective,
pre-trained,預先訓練,adjective,
transformer,轉換器,noun,
boolean,布林,noun,
operator,運算子,noun,
copy,複製,verb,
assignment,指派,noun,
copy,複本,noun,
script tag,指令碼標籤,noun,
helper,協助程式,noun,
serif,有襯線,noun,
sans serif,無襯線,noun,
serif,有襯線字型,noun,字型的基本外觀分類，英文字型如 Times New Roman，繁體中文字型如 Noto Serif TC。
sans serif,無襯線字型,noun,字型的基本外觀分類，英文字型如 Arial，繁體中文字型如 Noto Sans TC。
reverse lookup,反向對應,noun,
Fully Qualified Domain Name,完整網域名稱,noun,
FQDN,FQDN,noun,FQDN 是 Fully Qualified Domain Name (完整網域名稱) 的縮寫
Domain Name System,網域名稱系統,noun,
DNS,DNS,noun,DNS 是 Domain Name System (網域名稱系統) 的縮寫
resolver,解析程式,noun,
paywall,付費牆,noun,
paywall,需要付費,verb,
empty string,空白字串,noun,
value-added tax,加值稅,noun,
VAT,加值稅,noun,VAT 一般在商業交易內容中都是 Value-Added Tax (加值稅) 的縮寫
shallow copy,淺層複製,noun,對來源項目進行淺層複製，目標項目與來源項目共享相同引用的複本。在這種狀態下，無論變更來源項目或目標項目，都會導致另一個項目的變更。
deep,深層複製,noun,對來源項目進行深層複製，目標項目與來源項目為分別獨立的項目，變更其中一個項目不會影響另一個項目。
programming language,程式設計語言,noun,
salt,加密字串,noun,適用於加密用途
transactional email ,觸發式電子郵件,noun,
edit,編輯,verb,
validate,驗證,noun,
validation,驗證,verb,
expression,運算式,noun,適用於程式開發
privacy statement,隱私權聲明,noun,
statement,聲明,noun,
statement,陳述式,noun,適用於程式開發
release candidate,發行候選版本,noun,
RC,RC,noun,RC 通常是 Release Candidate (發行候選版本) 的縮寫
typo,拼寫錯誤,noun,
Threads,Threads,noun,社交網路服務平台名稱
assertion,判斷提示,noun,適用於程式開發
override,覆寫,verb,
retrieve,擷取,noun,
defer,延遲,verb,
defer,順延,verb,
Audio,音訊,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Video,視訊,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Status,近況簡述,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Quote,引文,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Image,圖片,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Link,連結,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Gallery,圖庫,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Chat,交談記錄,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Aside,記事,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Standard,標準,noun,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
blockquote,段落引用,noun,
security token,安全性憑證,noun,
Generic top-level domain,通用頂層網域,noun,
registry,網域註冊管理機構,noun,如果 registry 用於與網域註冊相關的內容，有一定的機會是指「網域註冊管理機構」。
gTLD,gTLD,noun,Generic top-level domain (通用頂層網域) 的縮寫
gTLD,通用頂層網域,noun,Generic top-level domain (通用頂層網域) 的縮寫
ccTLD,ccTLD,noun,Country code top-level-domain (國家/地區代碼頂層網域) 的縮寫
ccTLD,國家/地區代碼頂層網域,noun,Country code top-level-domain (國家/地區代碼頂層網域) 的縮寫
Country code top-level-domain,國家/地區代碼頂層網域,noun,
decentralize,分散式,verb,
centralize,集中式,verb,
decentralized,分散式,adjective,
centralized,集中式,adjective,
Black Friday,黑色星期五,noun,
Cyber Monday,網購星期一,noun,
Uyghur,維吾爾文,noun,語言名稱，介面中稱文不稱語
MIME,MIME,noun,
MIME Type,MIME 類型,noun,
preserve,保留,verb,
reserve,保留,verb,
context menu,操作功能表,noun,
dialog,對話,noun,
dialog box,對話方塊,noun,
dialog,對話方塊,noun,
temporary directory,暫存目錄,noun,
redo,取消復原,verb,
unmount,卸載,verb,適用於連接儲存裝置
mount,掛接,verb,適用於連接儲存裝置
dismount,卸載,verb,適用於連接儲存裝置
popup,彈出式訊息,noun,
temporary file,暫存檔案,noun,
playlist,播放清單,noun,
threshold,臨界值,noun,
threshold,閾值,noun,「閾值」對一般人來說比較不好理解，一般可以使用「臨界值」
comma separated values,逗點分隔值,noun,檔案格式的一種，縮寫為 CSV
CSV,CSV,noun,CSV 是 Comma Separated Values (逗點分隔值) 的縮寫，檔案格式的一種
Portable Document Format,可攜式文件格式,noun,
PDF,PDF,noun,PDF 是 Portable Document Format (可攜式文件格式) 的縮寫
acquire,擷取,verb,
algorithm,演算法,noun,
hash,雜湊,noun,
hash,雜湊值,noun,
mouseover,游標暫留,noun,
incremental search,累加搜尋,noun,
impersonate,模擬,verb,
malware,惡意程式碼,noun,
phish,網路釣魚,noun,
phishing,網路釣魚,noun,
quick start,快速入門,noun,
tutorial,教學課程,noun,
LinkedIn,LinkedIn,noun,社交網路服務平台名稱
TikTok,TikTok,noun,社交網路服務平台名稱
campaign,廣告活動,noun,Google 官方譯文 (建議採用)
uptime,運作時間,noun,
downtime,停機時間,noun,
outage,中斷,noun,
incident,事件,noun,
event,事件,noun,
breakdown,解析,noun,
spacer,空白間隔,noun,
progress bar,進度列,noun,
workaround,因應措施,noun,
solution,解決方案,noun,
query string,查詢字串,noun,
check,核取,verb,操作對象為核取方塊 (Checkbox) 時使用
uncheck,取消核取,verb,操作對象為核取方塊 (Checkbox) 時使用
wipe,抹除,verb,
tree view,樹狀檢視,noun,適用於檢視方式名稱
tree,樹狀結構,noun,適用於說明結構顯示方式
flat,平面,noun,
flat,單層式,adjective,
multicurrency,多重貨幣,noun,
multi-currency,多重貨幣,noun,
mailer,郵件程式,noun,
